country,sex,age,education,ethnicity,vigilante,income,victim,coup_support,neighbor_crime,attend_meeting,ideology,protested,solve_problems
Mexico,Female,27,17,Mestizo,2,16,0,0,0,0,9,0,4
Mexico,Male,83,12,Mestizo,1,3,0,0,0,0,9,0,4
Mexico,Male,57,6,White,7,9,0,0,0,0,1,0,4
Mexico,Female,41,6,Mestizo,2,6,0,0,0,0,10,0,4
Mexico,Female,34,9,White,1,9,0,1,1,0,7,0,4
Mexico,Male,44,12,Mestizo,3,NA,0,0,1,0,10,0,4
Mexico,Female,50,9,Indigenous,1,6,1,0,0,0,9,1,2
Mexico,Female,26,9,Mestizo,6,3,0,0,1,0,1,0,4
Mexico,Female,49,4,Mestizo,8,NA,0,NA,1,0,8,0,4
Mexico,Female,28,11,White,4,NA,0,1,0,0,4,0,4
Mexico,Male,21,18,Mestizo,5,14,1,0,0,0,5,0,4
Mexico,Female,44,1,Black,1,5,0,0,0,0,5,0,4
Mexico,Male,46,9,Mestizo,4,15,0,0,0,0,6,0,4
Mexico,Male,31,9,Mestizo,1,NA,0,1,1,0,7,0,4
Mexico,Female,31,12,Mestizo,5,5,0,1,0,0,5,0,2
Mexico,Male,27,17,Mestizo,8,NA,0,0,0,0,10,0,4
Mexico,Female,36,12,Mestizo,1,10,1,0,0,0,8,0,4
Mexico,Female,60,9,Mestizo,2,4,0,0,1,0,6,0,4
Mexico,Male,39,6,Don't Know,8,2,0,0,0,0,5,0,2
Mexico,Female,21,8,Mestizo,6,5,1,1,1,0,1,0,4
Mexico,Male,50,9,Indigenous,6,9,0,1,0,0,9,0,4
Mexico,Male,59,6,Don't Know,4,6,0,0,0,0,4,0,4
Mexico,Male,42,9,White,10,6,0,1,0,1,4,0,4
Mexico,Female,35,9,White,2,5,0,1,0,0,10,0,4
Mexico,Male,38,17,Mestizo,5,12,0,0,0,0,8,0,4
Mexico,Female,65,6,Mestizo,10,5,1,0,1,0,3,0,4
Mexico,Female,37,9,White,7,3,0,NA,0,0,5,0,4
Mexico,Male,60,6,Don't Know,9,6,0,1,0,0,4,0,4
Mexico,Female,18,12,Indigenous,1,14,0,0,0,0,4,0,4
Mexico,Male,19,11,Mestizo,5,13,1,0,1,0,5,0,4
Mexico,Male,27,12,Mestizo,1,15,0,0,0,0,3,0,4
Mexico,Male,59,3,Mestizo,5,7,0,0,NA,0,7,0,4
Mexico,Male,31,17,Indigenous,1,13,1,0,1,0,5,0,4
Mexico,Male,40,6,White,4,10,0,1,1,0,5,0,4
Mexico,Male,47,9,Mestizo,6,3,1,1,0,0,8,0,3
Mexico,Male,29,9,Mestizo,6,6,1,1,1,0,5,0,4
Mexico,Female,25,9,Don't Know,2,9,0,0,0,0,3,0,4
Mexico,Male,72,9,Mestizo,1,16,0,0,0,0,5,0,1
Mexico,Male,44,17,Mestizo,1,16,0,0,1,0,6,0,3
Mexico,Male,35,12,Mestizo,5,2,0,0,NA,0,5,0,4
Mexico,Male,24,18,Mestizo,5,11,0,1,0,1,6,0,4
Mexico,Male,28,12,Mestizo,1,13,0,0,0,0,1,0,4
Mexico,Male,45,6,Mestizo,3,14,0,1,1,0,6,0,4
Mexico,Female,53,2,Mestizo,2,7,0,NA,0,0,1,0,4
Mexico,Female,31,6,White,1,5,0,0,0,0,10,0,3
Mexico,Female,43,10,Mestizo,1,12,0,0,0,0,3,0,4
Mexico,Male,22,12,Mestizo,3,10,0,1,0,0,9,0,4
Mexico,Female,25,16,Mestizo,5,15,1,0,1,0,1,0,4
Mexico,Female,76,6,Mestizo,NA,NA,0,NA,0,0,10,0,4
Mexico,Female,28,9,Don't Know,1,2,1,0,0,0,1,0,4
Mexico,Male,38,18,White,1,11,0,1,0,0,4,0,3
Mexico,Male,19,11,Mestizo,1,4,0,0,0,0,5,0,4
Mexico,Female,35,6,Indigenous,1,5,0,0,0,0,3,0,4
Mexico,Female,34,5,Mestizo,9,11,0,0,0,0,7,0,3
Mexico,Male,24,12,Mestizo,1,7,0,0,1,1,5,1,1
Mexico,Male,23,11,White,9,9,0,NA,0,0,10,0,4
Mexico,Male,24,9,Mestizo,3,13,0,0,1,0,5,0,4
Mexico,Male,63,6,White,1,8,0,1,0,0,9,0,3
Mexico,Female,40,17,Mestizo,6,12,0,0,0,0,5,0,3
Mexico,Female,34,16,White,1,16,1,0,0,0,6,0,4
Mexico,Male,34,17,Mestizo,5,16,0,0,0,1,5,0,2
Mexico,Male,49,16,Mestizo,1,15,1,0,NA,0,1,0,4
Mexico,Female,42,6,Don't Know,4,6,0,1,0,0,6,0,4
Mexico,Male,29,12,Mestizo,10,15,1,0,1,0,10,0,4
Mexico,Male,36,9,Mestizo,1,9,0,1,1,0,1,0,4
Mexico,Male,19,12,Mestizo,1,12,0,0,0,0,1,0,4
Mexico,Female,25,9,Don't Know,10,12,0,1,0,0,5,0,4
Mexico,Male,29,16,Mestizo,1,NA,1,0,1,0,1,0,3
Mexico,Female,82,1,Mestizo,1,2,0,NA,1,0,1,0,4
Mexico,Male,19,10,Mestizo,3,3,0,1,0,0,6,0,3
Mexico,Female,64,0,Mestizo,4,NA,0,0,0,0,8,0,3
Mexico,Female,30,16,Mestizo,5,15,1,0,1,0,6,0,4
Mexico,Female,24,9,Mestizo,1,13,0,0,1,0,1,0,4
Mexico,Male,69,0,Indigenous,1,4,0,0,0,1,7,0,3
Mexico,Male,32,6,Mestizo,2,4,0,1,0,0,5,0,4
Mexico,Male,32,9,Mestizo,1,12,0,0,0,0,3,1,4
Mexico,Male,31,6,Mestizo,2,11,0,1,0,1,8,0,3
Mexico,Female,54,12,Mestizo,3,14,0,1,0,0,5,0,4
Mexico,Male,40,6,Mestizo,4,4,0,1,0,0,7,1,4
Mexico,Male,29,6,Don't Know,6,7,0,0,0,0,10,0,3
Mexico,Female,22,9,No Response,6,11,1,1,0,0,7,0,4
Mexico,Female,37,11,Indigenous,10,2,1,0,1,0,1,1,4
Mexico,Female,28,12,Mestizo,9,9,0,1,1,0,9,0,4
Mexico,Female,48,6,Mestizo,1,9,1,1,0,1,5,0,3
Mexico,Female,18,12,Mestizo,10,7,0,0,0,0,10,0,4
Mexico,Male,68,8,White,1,NA,0,1,0,0,9,0,4
Mexico,Male,38,14,Indigenous,6,15,0,0,0,0,4,0,3
Mexico,Male,61,4,Mulatto,1,7,1,1,0,0,10,0,3
Mexico,Female,45,17,Mestizo,4,16,0,1,0,0,5,0,3
Mexico,Male,22,15,Mestizo,5,14,1,1,0,0,5,0,4
Mexico,Female,20,11,Mestizo,4,NA,0,0,0,0,8,0,4
Mexico,Female,20,9,Indigenous,10,10,0,0,0,0,3,0,4
Mexico,Male,28,9,Mestizo,5,11,0,1,NA,0,8,0,4
Mexico,Female,21,11,White,3,NA,1,1,NA,0,8,0,NA
Mexico,Female,65,9,Mestizo,1,10,0,0,0,1,5,0,3
Mexico,Male,66,12,Mestizo,4,16,0,NA,0,0,4,0,4
Mexico,Female,45,9,Mestizo,8,NA,1,0,0,0,9,0,2
Mexico,Female,55,12,White,5,8,1,1,0,0,1,0,4
Mexico,Male,40,6,Indigenous,8,4,0,0,1,0,4,0,3
Mexico,Male,23,11,No Response,7,9,0,1,0,0,2,0,4
Mexico,Male,50,6,White,NA,NA,0,0,0,0,10,0,2
Mexico,Female,23,16,Mestizo,6,14,0,0,0,0,6,0,4
Mexico,Female,55,9,Mestizo,1,7,1,0,NA,0,1,0,3
Mexico,Female,37,9,Mestizo,10,10,0,1,0,0,9,0,3
Mexico,Male,26,10,Mestizo,3,10,0,0,0,0,4,0,4
Mexico,Male,25,9,Mestizo,6,6,0,1,0,0,8,0,4
Mexico,Female,32,8,White,4,12,0,NA,1,0,7,0,4
Mexico,Male,43,6,Mestizo,5,NA,0,0,1,1,9,0,4
Mexico,Male,20,12,Don't Know,1,11,0,0,0,0,6,0,4
Mexico,Male,19,9,White,5,NA,0,0,0,1,6,1,4
Mexico,Male,30,12,Mestizo,5,11,0,1,0,0,8,0,4
Mexico,Male,26,15,White,10,NA,1,1,NA,1,7,0,4
Mexico,Female,49,9,Indigenous,6,NA,0,1,1,1,2,0,4
Mexico,Male,44,6,Mestizo,1,14,1,1,0,0,9,0,4
Mexico,Male,39,6,Indigenous,4,5,0,0,0,0,2,0,4
Mexico,Female,56,3,Mestizo,5,5,0,1,0,0,3,1,3
Mexico,Male,34,17,Mestizo,5,4,0,1,0,0,4,0,4
Mexico,Male,34,12,White,3,8,0,0,0,0,5,0,4
Mexico,Female,30,9,Mestizo,3,13,1,1,0,0,5,0,4
Mexico,Female,36,9,White,4,NA,0,1,0,0,9,0,4
Mexico,Male,NA,9,Mestizo,2,4,0,NA,0,0,10,0,4
Mexico,Male,24,11,White,1,10,0,0,1,0,5,0,3
Mexico,Female,18,11,No Response,1,7,0,0,NA,0,1,0,4
Mexico,Male,54,18,Mestizo,4,NA,0,0,0,0,9,0,2
Mexico,Female,28,12,No Response,1,NA,0,0,0,0,1,0,4
Mexico,Male,58,12,Mestizo,5,NA,0,0,0,0,10,0,4
Mexico,Male,25,2,Don't Know,3,7,0,0,1,0,4,0,4
Mexico,Female,46,2,Mestizo,1,NA,1,1,0,0,1,0,4
Mexico,Male,19,12,White,1,16,1,0,0,0,10,0,4
Mexico,Female,31,9,Mestizo,4,2,0,0,NA,0,5,0,4
Mexico,Male,68,18,White,1,15,0,0,0,1,5,0,3
Mexico,Male,30,17,Mestizo,1,NA,0,1,0,0,8,0,4
Mexico,Female,26,9,White,2,13,0,1,1,0,10,0,4
Mexico,Male,33,9,White,5,3,0,0,0,0,4,0,3
Mexico,Male,74,12,White,3,3,0,0,0,0,4,0,2
Mexico,Male,29,12,Mestizo,4,7,1,1,1,0,5,0,4
Mexico,Female,63,4,Mestizo,2,3,0,0,0,0,7,0,3
Mexico,Female,32,9,Indigenous,1,NA,NA,1,NA,0,9,0,4
Mexico,Female,52,16,Mestizo,2,NA,0,1,0,0,8,1,4
Mexico,Male,50,6,Mestizo,1,7,1,0,0,0,5,0,2
Mexico,Male,54,9,Mestizo,1,5,0,1,0,0,10,0,4
Mexico,Female,22,18,Mestizo,1,12,1,0,0,0,1,0,4
Mexico,Female,30,9,Indigenous,1,12,0,0,0,0,10,0,4
Mexico,Female,59,6,Mestizo,4,11,1,NA,0,0,10,0,4
Mexico,Male,62,6,Mestizo,5,NA,0,NA,0,0,5,0,4
Mexico,Male,71,0,Don't Know,6,2,0,1,0,0,8,0,3
Mexico,Male,32,9,Mestizo,3,5,0,0,0,0,9,0,4
Mexico,Male,19,12,White,1,10,0,1,0,0,5,0,4
Mexico,Female,26,12,Indigenous,1,NA,1,0,1,1,1,0,1
Mexico,Female,46,9,Mestizo,1,7,0,1,0,0,1,0,3
Mexico,Female,20,12,Mestizo,1,NA,0,1,1,0,4,0,2
Mexico,Female,46,9,Mestizo,9,12,0,1,0,0,9,0,4
Mexico,Male,31,9,Don't Know,6,2,0,0,0,0,4,0,4
Mexico,Male,64,6,Mestizo,2,12,0,0,0,0,6,0,3
Mexico,Female,27,7,White,1,10,0,1,1,0,8,0,4
Mexico,Male,45,1,Mestizo,1,6,0,0,0,0,1,0,4
Mexico,Female,21,14,Mestizo,3,12,0,0,0,0,7,0,4
Mexico,Male,30,16,Mestizo,1,12,1,0,NA,0,6,0,4
Mexico,Male,41,12,Mestizo,1,13,0,0,1,0,7,0,4
Mexico,Female,19,3,No Response,3,10,1,1,0,0,8,1,2
Mexico,Female,19,12,White,1,NA,0,0,0,0,10,0,4
Mexico,Male,39,9,Mestizo,5,6,1,1,0,0,1,0,3
Mexico,Female,32,9,Mestizo,5,NA,0,1,0,1,10,1,3
Mexico,Female,47,12,Mestizo,5,11,0,NA,0,1,10,0,4
Mexico,Male,50,7,Mestizo,9,6,0,0,0,0,5,0,4
Mexico,Male,33,11,Mestizo,1,2,0,0,1,0,9,0,1
Mexico,Male,34,0,Don't Know,7,1,0,0,0,0,5,0,4
Mexico,Male,39,17,Mestizo,5,12,0,0,0,0,4,0,2
Mexico,Male,43,11,Mestizo,8,5,1,1,0,0,5,0,3
Mexico,Female,29,12,Mestizo,3,2,0,1,0,0,5,0,3
Mexico,Female,38,6,Don't Know,6,7,0,0,0,0,4,0,4
Mexico,Female,23,5,Mestizo,1,NA,0,1,0,0,10,0,4
Mexico,Female,71,4,Mestizo,1,NA,0,NA,0,0,10,0,4
Mexico,Female,25,18,White,1,6,1,NA,0,0,1,0,4
Mexico,Male,37,12,White,4,5,0,1,0,0,3,0,4
Mexico,Male,47,9,White,3,6,0,1,0,0,8,0,4
Mexico,Male,21,11,Mestizo,NA,12,0,0,0,0,8,0,3
Mexico,Male,57,8,White,3,6,0,1,1,0,1,0,3
Mexico,Male,34,16,Mestizo,2,14,0,0,1,0,8,0,1
Mexico,Male,61,15,Mestizo,1,14,0,0,1,0,8,0,3
Mexico,Male,31,17,Mestizo,6,4,1,0,0,0,2,1,1
Mexico,Female,25,9,Indigenous,3,7,0,0,0,0,2,0,2
Mexico,Male,53,12,Mulatto,1,NA,1,0,0,0,5,0,4
Mexico,Female,28,9,White,1,11,0,1,0,0,5,0,4
Mexico,Male,46,9,Mestizo,1,14,0,1,0,0,5,0,4
Mexico,Male,21,12,White,9,NA,0,1,0,0,3,0,4
Mexico,Female,52,12,Indigenous,1,8,1,0,0,0,5,0,3
Mexico,Female,31,5,Mestizo,9,3,0,1,0,0,1,0,4
Mexico,Female,44,15,Mestizo,4,12,0,0,1,0,6,0,4
Mexico,Male,22,9,Don't Know,6,3,0,1,0,0,1,0,4
Mexico,Male,34,12,Mestizo,4,NA,0,0,NA,0,4,0,4
Mexico,Male,47,9,Mestizo,3,11,1,1,0,0,5,0,3
Mexico,Female,48,6,White,1,9,1,1,0,1,3,0,4
Mexico,Male,50,6,Mestizo,1,6,0,1,0,0,2,0,4
Mexico,Female,53,9,Mestizo,8,16,1,1,0,0,5,1,3
Mexico,Male,47,9,Mestizo,1,3,0,NA,0,0,7,0,1
Mexico,Female,76,3,Indigenous,4,2,0,0,0,0,9,0,3
Mexico,Female,36,9,Mestizo,9,3,1,0,0,0,5,0,4
Mexico,Female,29,6,White,5,NA,0,1,NA,0,5,0,2
Mexico,Female,53,6,Mestizo,1,6,0,0,0,1,7,0,4
Mexico,Female,58,8,Mestizo,1,8,0,0,NA,0,7,0,3
Mexico,Female,21,12,White,3,NA,0,1,0,0,8,0,4
Mexico,Male,36,9,White,7,NA,1,1,1,0,10,0,2
Mexico,Male,28,9,Don't Know,1,2,0,1,1,0,3,0,4
Mexico,Female,19,9,Indigenous,2,11,0,0,1,0,10,0,4
Mexico,Female,46,6,Don't Know,6,5,0,1,0,1,4,0,3
Mexico,Female,23,12,White,4,8,0,0,0,0,4,0,4
Mexico,Female,28,16,Mestizo,2,11,0,1,NA,0,3,0,4
Mexico,Male,33,9,Don't Know,8,7,0,0,0,0,9,0,4
Mexico,Female,73,4,Mestizo,10,6,1,1,0,0,4,0,2
Mexico,Male,48,17,Mestizo,1,14,0,0,0,0,5,0,4
Mexico,Male,31,12,Mestizo,5,14,1,0,1,0,4,0,4
Mexico,Female,19,12,Mestizo,7,0,0,0,0,0,5,0,4
Mexico,Female,46,6,White,3,7,0,0,0,0,5,0,4
Mexico,Female,33,18,Mestizo,1,14,0,0,1,1,5,0,4
Mexico,Female,20,12,Other,3,5,1,1,0,1,6,0,3
Mexico,Female,23,12,Mestizo,1,16,1,0,0,0,5,0,2
Mexico,Female,33,6,Indigenous,1,6,0,0,1,0,10,0,4
Mexico,Male,29,9,Black,7,11,0,0,0,0,8,0,2
Mexico,Male,28,9,Mestizo,5,10,0,0,0,0,7,0,2
Mexico,Female,51,12,Mestizo,3,8,0,0,0,0,2,0,4
Mexico,Male,70,3,White,1,NA,0,1,0,0,10,0,4
Mexico,Male,73,15,Mestizo,1,7,0,0,0,0,2,1,2
Mexico,Male,46,9,White,6,13,0,NA,0,0,7,NA,1
Mexico,Female,51,18,Mestizo,10,11,0,0,0,0,5,0,4
Mexico,Female,70,2,Mestizo,1,NA,0,0,0,0,9,0,3
Mexico,Male,77,3,Mestizo,1,NA,0,1,0,0,10,0,3
Mexico,Male,35,11,White,3,10,1,0,0,0,10,0,4
Mexico,Male,70,6,Indigenous,1,4,1,0,1,0,1,0,4
Mexico,Female,39,9,Indigenous,7,NA,0,0,0,0,5,0,4
Mexico,Male,54,3,Indigenous,9,8,1,1,0,0,1,1,4
Mexico,Male,68,3,Indigenous,3,8,1,0,0,0,4,0,4
Mexico,Male,51,9,Mestizo,5,NA,1,0,1,0,10,0,4
Mexico,Male,50,6,White,8,3,0,1,0,0,9,0,3
Mexico,Male,40,9,Mestizo,4,8,0,1,0,0,10,0,4
Mexico,Female,26,9,Mestizo,4,6,0,1,0,0,7,0,4
Mexico,Male,43,9,White,7,13,0,1,0,0,3,0,4
Mexico,Male,20,10,Don't Know,10,NA,1,1,0,0,5,0,4
Mexico,Female,24,17,Indigenous,5,2,1,1,0,0,5,0,4
Mexico,Male,29,16,Mestizo,9,5,0,0,0,0,8,0,4
Mexico,Female,30,11,Mestizo,6,NA,0,1,0,0,6,0,4
Mexico,Male,29,9,White,10,9,0,0,0,0,3,0,4
Mexico,Female,48,6,Mestizo,1,3,0,1,0,0,5,0,4
Mexico,Male,41,16,Mestizo,1,16,1,0,0,0,6,0,2
Mexico,Male,43,6,Mestizo,3,7,0,NA,NA,0,5,0,3
Mexico,Male,62,3,Mulatto,1,6,1,0,1,0,10,0,4
Mexico,Male,56,16,Indigenous,9,12,0,1,NA,1,2,0,3
Mexico,Male,43,9,Indigenous,2,7,0,NA,0,0,10,0,4
Mexico,Female,52,9,Mestizo,1,NA,0,1,0,0,10,0,4
Mexico,Female,50,NA,Mestizo,1,14,0,1,0,0,6,0,3
Mexico,Male,26,7,Don't Know,3,7,1,1,1,0,6,0,4
Mexico,Female,31,9,Don't Know,1,2,0,1,0,1,4,0,4
Mexico,Male,30,9,Mestizo,5,6,0,1,0,0,4,0,3
Mexico,Male,43,9,Mestizo,1,13,0,0,0,0,10,0,4
Mexico,Male,38,12,Mestizo,8,NA,1,0,0,0,10,0,4
Mexico,Male,29,9,Mestizo,10,12,1,0,NA,0,5,0,2
Mexico,Male,37,9,Mestizo,1,3,0,1,1,0,1,0,4
Mexico,Female,45,3,Mestizo,1,10,0,NA,0,0,5,0,4
Mexico,Male,42,6,Mestizo,2,13,0,1,0,0,5,0,4
Mexico,Female,44,7,Mestizo,1,7,0,1,0,0,5,0,4
Mexico,Female,31,12,Mestizo,5,5,0,1,1,0,5,0,4
Mexico,Female,43,6,Indigenous,9,3,0,1,0,0,2,0,3
Mexico,Male,39,6,Mestizo,4,7,0,0,0,0,5,0,4
Mexico,Male,49,12,Indigenous,1,NA,0,1,0,0,1,1,3
Mexico,Male,59,9,Don't Know,3,8,0,1,0,0,3,0,2
Mexico,Female,30,16,White,1,16,NA,0,0,0,7,0,2
Mexico,Female,52,11,Mestizo,3,10,1,0,0,0,4,0,3
Mexico,Female,56,9,Don't Know,6,4,0,1,0,0,10,0,4
Mexico,Male,34,17,Mestizo,1,11,1,0,0,0,5,1,2
Mexico,Male,35,6,Black,5,7,0,0,0,0,5,0,4
Mexico,Female,37,9,Mestizo,6,7,0,0,0,0,7,0,4
Mexico,Female,43,9,Don't Know,1,3,0,0,0,0,8,0,3
Mexico,Female,24,11,Mestizo,4,7,0,0,0,1,7,0,4
Mexico,Female,46,0,Mestizo,1,10,0,0,0,0,3,0,4
Mexico,Female,41,12,White,6,7,0,0,0,0,10,0,3
Mexico,Female,62,12,White,5,2,0,0,0,0,4,0,4
Mexico,Male,41,6,White,2,NA,0,0,0,0,1,0,3
Mexico,Male,39,6,Mestizo,5,9,0,1,0,0,7,0,1
Mexico,Female,21,16,Mestizo,3,12,1,0,0,0,6,0,4
Mexico,Male,29,17,Mestizo,10,15,0,0,0,0,5,0,3
Mexico,Male,28,8,Mestizo,10,7,0,1,0,0,10,0,4
Mexico,Male,28,16,Mestizo,4,16,0,1,0,0,5,0,4
Mexico,Male,50,9,Indigenous,8,5,0,0,0,0,1,0,4
Mexico,Male,43,9,Don't Know,1,4,0,1,0,0,8,0,4
Mexico,Male,42,11,Mestizo,8,11,0,0,1,0,7,0,4
Mexico,Male,26,9,Mestizo,9,5,1,1,NA,0,6,1,4
Mexico,Female,71,5,Mestizo,1,6,1,NA,0,0,10,0,2
Mexico,Male,26,9,Mestizo,1,9,0,0,0,0,5,0,4
Mexico,Male,69,3,White,1,6,0,0,0,0,7,0,3
Mexico,Female,56,9,Mestizo,3,NA,0,0,0,0,5,0,4
Mexico,Female,54,12,White,1,15,0,1,0,0,4,0,4
Mexico,Female,27,9,White,1,9,0,0,0,0,5,0,4
Mexico,Female,60,6,Mestizo,1,8,0,0,0,0,5,0,4
Mexico,Female,54,12,White,2,15,0,0,0,1,8,0,3
Mexico,Female,29,18,Mestizo,1,11,0,0,0,0,10,0,4
Mexico,Female,24,9,Mestizo,8,3,0,1,1,0,1,0,4
Mexico,Female,40,12,Mestizo,1,11,0,1,0,0,1,0,3
Mexico,Female,25,12,Indigenous,1,NA,0,1,0,0,9,0,3
Mexico,Male,54,9,White,1,7,0,1,0,0,8,0,4
Mexico,Female,38,18,Mestizo,1,7,1,0,0,1,10,0,3
Mexico,Female,84,3,White,1,NA,0,1,NA,0,9,0,3
Mexico,Female,39,9,Don't Know,7,6,0,0,0,0,4,0,4
Mexico,Male,40,17,White,5,NA,1,NA,0,1,10,0,4
Mexico,Female,39,6,Don't Know,5,10,0,0,1,0,1,0,4
Mexico,Female,71,1,Mestizo,1,2,0,1,0,0,10,0,4
Mexico,Male,27,17,Mestizo,5,11,1,1,0,1,7,0,1
Mexico,Male,59,3,Mestizo,10,5,0,0,0,0,5,0,4
Mexico,Male,46,9,Mestizo,1,13,0,0,0,0,5,0,4
Mexico,Male,73,17,White,1,16,0,0,0,0,1,0,4
Mexico,Female,52,18,White,1,11,0,0,NA,0,9,0,4
Mexico,Female,29,9,Don't Know,1,4,0,0,0,0,3,0,4
Mexico,Male,49,16,Mestizo,2,14,0,0,0,0,5,0,4
Mexico,Male,26,16,Mestizo,7,6,1,0,0,0,6,0,3
Mexico,Male,49,16,White,1,10,0,0,0,0,10,0,3
Mexico,Female,29,17,Mestizo,3,16,0,0,0,0,5,0,4
Mexico,Female,33,6,White,1,7,0,0,0,0,9,0,4
Mexico,Male,31,18,Mestizo,6,14,0,1,0,0,6,0,3
Mexico,Male,23,12,Mestizo,8,12,1,0,0,0,4,1,3
Mexico,Male,78,18,White,1,7,1,0,0,1,4,0,4
Mexico,Female,51,12,Mestizo,1,11,0,1,0,0,10,1,2
Mexico,Female,51,12,Mestizo,2,6,0,0,0,0,5,0,4
Mexico,Male,31,6,Mestizo,7,8,1,0,0,0,2,0,4
Mexico,Male,33,6,Mestizo,9,8,1,1,0,0,3,0,4
Mexico,Male,19,9,White,3,2,0,NA,0,0,10,0,4
Mexico,Male,27,12,Mulatto,5,12,1,1,0,0,8,0,4
Mexico,Male,82,6,White,2,NA,0,0,0,0,9,0,4
Mexico,Female,46,5,Indigenous,7,2,0,1,0,1,2,0,4
Mexico,Male,84,9,Indigenous,7,9,0,0,0,0,1,0,4
Mexico,Male,30,14,Mestizo,9,NA,1,0,1,0,4,1,2
Mexico,Male,37,9,Mestizo,2,5,1,1,0,0,5,0,4
Mexico,Male,49,17,Mestizo,1,13,1,0,1,0,5,0,4
Mexico,Male,37,16,White,10,NA,0,1,1,0,1,0,4
Mexico,Male,85,12,White,1,11,0,1,0,0,5,0,4
Mexico,Male,30,16,Mestizo,3,11,1,0,0,0,5,0,2
Mexico,Male,39,17,Mestizo,2,15,1,1,0,0,1,0,4
Mexico,Female,27,16,Mestizo,8,9,0,0,0,0,6,0,4
Mexico,Male,27,9,Mestizo,8,10,0,1,1,0,5,0,4
Mexico,Female,41,0,Mestizo,10,2,0,0,1,0,1,0,4
Mexico,Female,19,14,Mestizo,2,9,0,0,0,0,8,0,4
Mexico,Male,54,6,White,1,15,1,0,0,0,1,0,4
Mexico,Female,46,16,White,1,16,0,0,0,1,6,0,1
Mexico,Female,24,12,White,10,10,0,0,1,0,1,0,3
Mexico,Male,50,18,Mestizo,5,NA,1,0,1,0,3,0,2
Mexico,Female,30,8,Don't Know,6,NA,0,0,0,0,5,0,2
Mexico,Male,40,16,Indigenous,2,16,1,1,1,0,10,0,1
Mexico,Female,39,11,Mestizo,1,NA,1,0,0,0,2,0,4
Mexico,Male,29,9,Mestizo,5,3,0,0,0,0,5,0,4
Mexico,Female,51,12,Mestizo,3,12,1,1,0,0,8,0,3
Mexico,Female,72,9,Mestizo,3,NA,0,0,0,0,7,0,3
Mexico,Male,36,9,Mestizo,3,6,0,0,1,0,2,0,2
Mexico,Male,45,2,Don't Know,3,NA,0,0,0,0,7,0,4
Mexico,Female,50,12,White,5,9,1,0,0,0,5,0,2
Mexico,Female,45,16,Mestizo,4,NA,0,0,1,1,5,0,2
Mexico,Female,22,12,Mestizo,10,6,0,0,0,0,5,1,4
Mexico,Male,30,9,Indigenous,6,8,0,NA,0,0,4,0,3
Mexico,Female,73,9,White,1,15,0,0,0,0,5,0,2
Mexico,Female,43,12,Mestizo,5,9,0,0,0,0,10,0,4
Mexico,Female,36,6,Mestizo,1,NA,0,0,0,0,10,0,3
